<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.20	05:50:00	1950.65	1950.80	1949.87	1949.96	776	0	7
2023.06.20	06:00:00	1949.99	1950.15	1949.14	1949.78	604	0	13
2023.06.20	06:10:00	1949.84	1950.19	1949.49	1950.11	509	0	10
2023.06.20	06:20:00	1950.05	1950.35	1949.57	1950.09	480	0	7
2023.06.20	06:30:00	1950.10	1950.34	1949.77	1950.26	425	0	15
2023.06.20	06:40:00	1950.28	1950.62	1950.07	1950.47	397	0	12
2023.06.20	06:50:00	1950.46	1950.54	1949.91	1950.17	390	0	13
2023.06.20	07:00:00	1950.22	1950.49	1949.64	1950.26	502	0	5
2023.06.20	07:10:00	1950.26	1950.30	1949.70	1949.92	273	0	10
2023.06.20	07:20:00	1949.93	1951.20	1949.92	1951.13	331	0	7
2023.06.20	07:30:00	1951.15	1951.27	1950.54	1950.91	308	0	5
2023.06.20	07:40:00	1950.91	1951.05	1950.08	1950.38	334	0	11
2023.06.20	07:50:00	1950.38	1950.86	1949.82	1949.84	398	0	9
2023.06.20	08:00:00	1949.84	1950.31	1947.49	1947.56	702	0	5
2023.06.20	08:10:00	1947.56	1948.51	1947.10	1947.96	717	0	5
2023.06.20	08:20:00	1947.96	1948.31	1946.88	1947.73	730	0	5
2023.06.20	08:30:00	1947.69	1949.02	1947.19	1948.85	859	0	15
2023.06.20	08:40:00	1948.85	1949.50	1948.13	1948.83	623	0	7
2023.06.20	08:50:00	1948.81	1949.38	1948.43	1948.82	594	0	6
2023.06.20	09:00:00	1948.74	1949.54	1948.17	1949.03	883	0	7
2023.06.20	09:10:00	1949.03	1951.30	1948.43	1951.30	913	0	9
2023.06.20	09:20:00	1951.29	1951.57	1950.20	1951.10	860	0	7
2023.06.20	09:30:00	1951.24	1952.58	1950.60	1952.38	900	0	5
2023.06.20	09:40:00	1952.27	1953.74	1952.27	1952.55	1039	0	7
2023.06.20	09:50:00	1952.56	1952.97	1950.79	1951.23	994	0	5
2023.06.20	10:00:00	1951.23	1953.03	1951.20	1951.97	1140	0	7
2023.06.20	10:10:00	1951.93	1952.40	1951.44	1952.15	812	0	12
2023.06.20	10:20:00	1952.17	1953.26	1952.06	1953.07	757	0	7
2023.06.20	10:30:00	1953.10	1955.99	1953.10	1955.67	1124	0	5
2023.06.20	10:40:00	1955.69	1956.73	1954.65	1956.17	931	0	10
2023.06.20	10:50:00	1956.18	1956.21	1954.62	1954.87	982	0	6
2023.06.20	11:00:00	1954.77	1955.55	1953.80	1953.88	784	0	5
2023.06.20	11:10:00	1953.88	1954.78	1953.50	1954.25	714	0	11
2023.06.20	11:20:00	1954.25	1954.58	1953.73	1953.98	667	0	5
2023.06.20	11:30:00	1953.96	1954.21	1952.82	1953.23	692	0	5
2023.06.20	11:40:00	1953.23	1953.57	1952.88	1953.45	621	0	5
2023.06.20	11:50:00	1953.32	1954.17	1952.90	1953.26	573	0	9
2023.06.20	12:00:00	1953.35	1954.42	1953.07	1954.28	660	0	7
2023.06.20	12:10:00	1954.30	1954.42	1952.20	1952.91	722	0	12
2023.06.20	12:20:00	1952.91	1953.56	1952.08	1953.43	693	0	9
2023.06.20	12:30:00	1953.43	1954.00	1952.94	1953.42	597	0	5
2023.06.20	12:40:00	1953.42	1953.44	1952.20	1952.86	560	0	9
2023.06.20	12:50:00	1952.86	1953.24	1952.15	1952.65	710	0	7
2023.06.20	13:00:00	1952.65	1952.97	1952.04	1952.58	585	0	11
2023.06.20	13:10:00	1952.58	1952.72	1951.32	1951.96	640	0	5
2023.06.20	13:20:00	1951.96	1952.79	1950.60	1950.62	684	0	8
2023.06.20	13:30:00	1950.62	1951.87	1949.91	1951.80	984	0	8
